"condition","responded","yes","dem","rep","lean_dem","lean_rep","dem_condition","rep_condition","neutral_condition","copart_condition","counterpart_condition","strong_dem","strong_rep","strong_part","age","race_fixed","educ_fixed","gender"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,68,"White","Some Grad School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,62,"White","High School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,NA,"White","High School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,74,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,48,"Hispanic","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,69,"White","High School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,48,"White","High School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,74,"White","Some College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,68,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,49,"Other","Trade School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,71,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,57,"Hispanic","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,NA,"White",NA,"Male"
"Democratic campaigns",0,0,0,1,0,1,1,0,0,0,1,0,0,0,25,"White","High School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,61,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,32,"White","Grad School","Female"
"Democratic campaigns",0,0,0,1,0,0,1,0,0,0,1,0,0,0,85,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,63,"Native American","Some Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,82,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,69,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,69,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,72,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,83,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,70,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,83,"White","Grad School","Male"
"Democratic campaigns",1,1,1,0,0,0,1,0,0,1,0,0,0,0,63,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,60,"White","High School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,52,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,71,"White","Some Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,70,"Hispanic","High School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,95,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,72,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,72,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,88,"White","High School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,62,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,45,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,71,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,69,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,65,"Other","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,61,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,56,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,69,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,66,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,NA,"White","College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,28,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,77,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,62,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,63,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,77,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,58,"Hispanic","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,44,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,63,"Other","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,81,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,62,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,72,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,69,"Other","Some College","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,32,"White","Some College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,65,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,55,"Black","Grad School","Female"
"Republican campaigns",0,0,0,1,0,1,0,1,0,1,0,0,0,0,61,"Native American","< High School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,71,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,65,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,NA,"Other","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,76,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,69,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,54,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,65,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,67,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,51,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,70,"White","Grad School","Male"
"volunteers of a non-profit organization",1,1,1,0,0,0,0,0,1,0,0,1,0,1,55,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,68,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,46,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,67,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,54,"White","Some Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,78,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,71,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,80,"White","Some College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,64,"White","Some College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,66,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,25,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,68,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,61,"Hispanic","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,77,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,57,"White","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,93,"White","Grad School","Male"
"Republican campaigns",1,1,1,0,1,0,0,1,0,0,1,0,0,0,55,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,81,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,57,"Other","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,42,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,61,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,66,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,74,"White","Some College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,68,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,47,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,69,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,72,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,67,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,54,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,65,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,54,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,53,"Hispanic","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,65,"Other","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,70,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,42,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,NA,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,57,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,76,"White","Trade School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,55,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,50,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,76,"White","College","Female"
"Republican campaigns",1,1,1,0,1,0,0,1,0,0,1,0,0,0,58,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,56,"White","Some College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,73,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,42,"White","Some College","Male"
"Republican campaigns",0,0,0,1,0,1,0,1,0,1,0,0,0,0,55,"White","High School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,68,"Asian","Grad School","Female"
"volunteers of a non-profit organization",1,1,1,0,0,0,0,0,1,0,0,1,0,1,75,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,75,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,41,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,67,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,62,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,80,"White","Some Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,68,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,66,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,71,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,95,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,51,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,91,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,73,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,64,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,68,"White","High School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,48,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,56,"White","Some Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,58,"White","College","Male"
"Democratic campaigns",0,0,0,1,0,1,1,0,0,0,1,0,0,0,63,"Other","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,58,"Other","College","Male"
"Democratic campaigns",0,0,0,1,0,0,1,0,0,0,1,0,0,0,57,"White","Some Grad School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,68,"White","Trade School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,27,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,57,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,64,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,79,"Black","High School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,70,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,68,"White","College","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,48,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,62,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,59,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,60,"White","Trade School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,53,"Other","Some Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,58,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,57,"White","Some Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,74,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,60,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,57,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,NA,"Other","Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,59,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,73,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,77,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,23,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,48,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,64,"Other","Some Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,75,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,67,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,NA,"White","Some Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,51,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,67,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,68,"White","Some Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,58,"White","College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,54,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,57,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,88,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,74,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,70,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,78,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,62,"White","College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,30,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,71,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,70,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,57,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,56,"White","College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,62,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,82,"White","Some College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,64,"White","College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,23,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,49,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,61,"White","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,69,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,58,"Other","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,68,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,61,"White","High School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,65,"White","Trade School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,56,"White","College","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,82,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,52,"White","Trade School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,64,"White","High School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,59,"White","High School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,82,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,65,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,25,"Other","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,66,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,NA,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,61,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,59,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,51,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,65,"White","Some College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,32,"White","High School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,64,"Black","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,62,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,NA,NA,"Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,NA,"Asian","Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,64,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,66,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,30,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,67,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,82,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,57,"Native American","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,74,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,67,"Other","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,NA,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,67,"Asian","Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,25,"White","High School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,72,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,57,"Native American","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,55,"White","College","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,62,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,56,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,80,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,64,"Hispanic","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,65,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,64,"White","Some College","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,47,"White","High School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,70,"Other","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,73,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,77,"Other","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,64,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,56,"White","High School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,79,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,62,"White","Some Grad School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,66,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,64,"White","College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,57,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,37,NA,"High School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,62,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,46,"White","College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,72,"White","College","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,66,"White","College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,62,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,54,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,58,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,72,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,35,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,71,"White","Trade School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,79,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,66,"Hispanic","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,67,"Other","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,50,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,0,1,0,1,0,0,1,0,0,0,0,0,44,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,60,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,72,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,26,"White","College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,57,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,84,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,72,"White","Grad School","Female"
